,Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Year,Final credit score,Credit Group
33,OAKAM LTD,No,No,No,No,No,ME4 4QU,5878249,64921,30/06/2020,"Active, in administration",2021,Secure,0.9,500,2019,Secure,AKROD LIMITED,37,1.0,25,-13.72,-12.58,-18.81,99.9,1,-11.22,-6.31,0.73,12.35,-1.43,3.58,0.77,472.3,10.69,11.37,11.37,-0.35,-49.8,1.0,0.0,"-18,927",0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
34,CASH ON GO LIMITED,No,No,No,No,No,EC2R 6AY,7306662,64921,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,SIA SMART FINANCE HOLDING,3,1.0,5,112.2,-135.73,-81.97,1.0,1,-62.58,-52.74,1.4,3.81,1.0,3.58,49.5,7.37,14.8,0.26,0.26,-2.42,0.0,1.0,0.0,"-67,256",0,1.0,-1.0,0.0,0.0,0.0,2016,99.0,3
35,BRISTOL & LONDON PLC,No,No,No,No,No,NW1 1DB,3662032,77110,31/12/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,7,26.81,9,13.62,6.4,5.38,26.98,1,8.65,15.14,2.53,3.45,2.65,3.58,2.24,163.22,16.22,1.24,1.24,1.03,23.87,31.36,207.85,"10,085","37,613",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
36,EAD SOLICITORS LLP,No,No,No,No,No,M3 5EN,OC334289,69102,30/04/2017,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MOUNT CAPITAL DANER LIMITED,6,1.0,9,15.42,0.21,100.0,1.0,1,34.41,34.55,8.97,252.21,1.0,3.58,1.83,199.94,13.88,1.21,1.21,0.0,0.0,1.0,0.0,0,0,3.0,0.0,0.0,-3.0,0.0,2016,99.0,3
37,8 OUTDOOR MEDIA LIMITED,No,No,No,No,No,WC2N 6JU,9449118,73110,31/12/2016,"Active, in administration",2021,Secure,0.9,500,2019,Secure,SIS DIGITAL VISION LIMITED,11,555.5,8,27.12,9.62,13.5,43.53,1,13.5,17.58,2.01,0.9,1.0,3.58,5.7,64.06,60.15,0.32,0.32,0.05,1.73,1.76,0.0,"47,284","8,512",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
38,KOOVS PLC,No,No,No,No,No,EC4N 6EU,8166410,46420,31/03/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,KOOVS PLC,17,-191.22,7,-186.4,-123.69,100.0,-45.84,0,4.76,2.63,0.58,0.75,1.0,1.8,59.75,6.11,157.01,1.46,0.82,38.74,64.68,1.0,18.26,"-115,731","60,524",-19.0,0.0,0.0,7.0,2.0,2016,99.0,3
39,HH LAW LIMITED,No,No,No,No,No,M3 5EN,6909220,69102,31/03/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MSB LAW LLP,7,20.68,19,9.63,6.27,2.37,61.22,1,2.41,3.03,4.07,58.56,46.48,3.58,4.62,78.97,10.6,2.74,2.74,0.87,30.34,43.55,122.35,"2,429","11,745",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
40,AVANTA LONDON LIMITED,No,No,No,No,No,WC1V 6RL,6145147,68209,31/12/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,6,1.0,6,6.73,-3.47,-3.34,15.7,1,-1.72,14.14,1.4,2.99,-1.07,3.58,3.95,92.29,1.19,0.43,0.43,0.0,-51.55,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
41,WMC RETAIL PARTNERS PLC,No,No,No,No,No,B2 5PP,636475,68209,31/12/2016,"Active, in administration",2021,Secure,0.9,500,2019,Secure,JAMES SHARP & CO LLP,9,-62.22,5,-23.23,-18.41,-32.96,16.42,0,-29.79,-5.1,0.7,0.6,-9.41,3.58,25.5,14.31,50.18,0.35,0.35,0.6,29.59,42.02,191.61,"-34,639","55,671",0.0,0.0,-1.0,0.0,0.0,2016,99.0,3
42,WESTGATE CREDIT LIMITED,No,No,No,No,No,B94 6NW,6220221,64921,30/12/2017,"Active, in administration",2021,Secure,0.9,500,2019,Secure,INTRINSIC EQUITY LIMITED,4,1.0,11,-0.12,1.05,0.37,91.24,1,0.37,1.36,1.4,4.16,1.0,391.17,4.27,1.13,9.29,0.03,0.03,0.0,0.0,1.0,0.0,393,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
43,LAVA MAYFAIR LIMITED,No,No,No,No,No,SL6 1RX,10024718,68209,30/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,14,1.0,38,15.42,0.21,100.0,1.0,1,4.76,2.63,1.4,1.0,1.0,3.58,4.27,1.13,1.0,1.03,1.02,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
44,AFX MARKETS LTD,No,No,No,No,No,M2 4DU,7612002,64191,30/04/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,1,9.54,1,9.54,2.21,3.06,99.87,1,3.06,2.63,3.12,1.0,1.0,3.58,4.27,1.13,60.51,1.3,1.3,0.0,23.16,30.14,0.0,"4,567","47,854",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
45,HIGHLAND LOUGHBOROUGH LIMITED,No,No,No,No,No,EC2R 6AY,4080194,68209,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,ARES LIFE SCIENCES L.P.,34,-3.02,3,-3.0,-2.83,-33.21,1.0,1,96.41,2.63,0.09,0.09,1.0,3.58,15.1,24.18,2.98,1.09,1.09,129.14,93.63,1.0,0.77,"-478,264",0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
46,TIBER CAPITAL LLP,No,No,No,No,No,WC1V 6RL,OC366295,66190,31/03/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,2,-19.13,2,-19.13,-18.58,-25.31,95.32,1,15.36,26.58,0.76,3.46,1.0,3.58,44.66,8.17,6.31,27.3,27.3,0.0,97.11,1.0,0.0,"-42,513","222,225",1.0,0.0,0.0,-1.0,0.0,2016,99.0,3
47,REYKER SECURITIES PLC,No,No,No,No,No,EC2R 6AY,1747595,66300,31/12/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,REYKER SECURITIES PLC,4,15.43,4,14.2,9.71,9.5,98.5,1,9.5,12.31,1.5,4.62,1.0,3.58,26.11,13.98,13.25,2.46,2.46,11.53,62.88,1.0,8.67,"11,376","73,706",1.0,0.0,0.0,0.0,1.0,2016,99.0,3
48,LIBERTY SIPP LIMITED,No,No,No,No,No,M3 5EN,6365953,66110,31/03/2018,"Active, in administration",2021,Secure,0.9,500,2019,Secure,MR IAN CURRIE,2,-6.26,2,-6.23,-5.15,-5.89,38.39,1,-1.06,-0.1,1.06,3.14,1.0,3.58,18.96,19.25,46.33,4.17,4.17,183.61,82.24,1.0,0.54,"-3,308","52,798",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
49,T F S LOANS LIMITED,No,No,No,No,No,NW1 1DB,6542065,64999,31/12/2020,"Active, in administration",2021,Secure,0.9,500,2019,Secure,THE  FINANCE STORE LIMITED,26,491.1,8,3.99,2.7,8.96,93.2,2,44.53,46.13,0.45,42.18,1.25,3.58,0.33,1.13,7.99,3.08,3.08,0.01,0.55,0.55,0.0,"14,587","2,970",1.0,0.0,0.0,-2.0,-1.0,2016,99.0,3
50,BRACKNELL PROPERTY OPCO LIMITED,No,No,No,No,No,EC4R 9AN,7893682,68209,31/03/2020,"Active, in administration",2021,Secure,0.9,500,2019,Secure,HARCOURT CAPITAL LLP,1,124.24,4,124.24,21.22,3.41,68.39,1,3.41,3.44,36.47,174.21,1.0,274.37,35.64,10.24,6.88,1.16,1.14,0.0,17.08,20.59,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
51,BUSINESS LOAN NETWORK LIMITED,No,No,No,No,No,SE1 9SG,7248014,66110,31/12/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,ESF CAPITAL LIMITED,5,-43.09,1,-41.6,-38.38,100.0,68.16,0,4.76,-98.97,0.41,9.68,1.0,3.58,298.29,1.22,47.97,12.44,12.44,27.91,89.08,1.0,3.58,"-84,219","195,455",0.0,0.0,0.0,0.0,0.0,2016,99.0,3
52,MANCHESTER FOUNTAIN STREET CENTRE LIMITED,No,No,No,No,No,WC1V 6RL,7705535,68209,31/12/2019,"Active, in administration",2021,Secure,0.9,500,2019,Secure,IWG PLC,1,1.0,2,0.63,-0.8,-0.27,21.01,1,1.14,3.3,1.4,35.36,0.81,3.58,8.2,44.49,0.98,0.4,0.4,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2016,99.0,3
