,Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Year,Final credit score,Credit Group
1572,MWL INTERNATIONAL LIMITED,No,No,No,No,No,GU6 8JE,3727171,66120,31/03/2021,Active,2021,Secure,0.9,"173,253",2020,Secure,MWL INTERNATIONAL LIMITED,11,1.0,38,15.42,0.21,100.0,1.0,1,4.76,2.63,1.4,1.0,1.0,3.58,4.27,1.13,1.0,2.24,2.24,0.0,63.61,1.0,0.44,0,0,0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1573,QUILTER WEALTH LIMITED,No,No,No,No,No,EC4V 4AB,4500273,64999,31/12/2020,Active,2021,Secure,0.9,"247,618",2019,Secure,QUILTER PLC,9,-21.96,43,-21.96,-8.05,-1.62,14.38,1,-1.62,2.63,13.52,1.0,1.0,3.58,87.64,4.16,22.94,1.58,1.58,0.0,36.65,57.85,24.1,0,0,-13.0,0.0,0.0,0.0,-13.0,2018,86.0,3
1574,PARMENION CAPITAL PARTNERS LLP,No,No,No,No,No,BS1 6BX,OC322243,66300,31/12/2020,Active,2021,Secure,0.9,"544,762",2019,Secure,MR JATENDER AUJLA,24,4.21,24,4.21,2.62,2.62,1.0,1,-9.83,-3.12,1.6,1.84,9.17,3.58,10.69,34.14,26.42,1.21,1.21,0.0,62.3,1.0,17.12,"4,388","104,206",0.0,0.0,0.0,0.0,0.0,2018,88.0,3
1575,STOLLE EMS GROUP LIMITED,No,No,No,No,No,BB5 5YT,8805716,64209,29/12/2020,Active,2021,Normal,4.2,500,2019,Normal,TOYO SEIKAN GROUP HOLDINGS LTD,7,57.66,17,38.88,7.12,3.02,22.47,1,3.78,6.08,12.88,9.09,4.63,9.96,6.32,57.79,45.27,0.91,0.62,2.07,12.35,14.09,84.37,"3,173","5,503",1.0,0.0,0.0,0.0,0.0,2018,55.0,2
1576,MIND GYM PLC,No,No,No,No,No,W8 7RG,3833448,70229,31/03/2021,Active,2021,Secure,0.9,"843,457",2020,Secure,MIND GYM PLC,23,50.56,42,50.56,30.65,16.67,79.93,1,16.68,17.25,3.03,15.31,1.0,142.26,4.8,76.0,12.45,2.24,2.2,0.0,60.63,1.0,0.0,"34,818","68,867",4.0,0.0,0.0,0.0,2.0,2018,97.0,3
1577,GAEL FORCE GROUP LIMITED,No,No,No,No,No,IV3 8DH,SC229244,32990,31/12/2020,Active,2021,Secure,0.9,"395,661",2019,Secure,MR STEWART GRAHAM,19,16.3,30,9.9,5.2,3.23,26.88,1,3.35,6.46,3.07,4.99,24.88,8.08,6.43,56.8,36.71,1.42,1.0,1.55,31.88,46.79,77.72,"4,951","30,374",0.0,0.0,0.0,0.0,0.0,2018,92.0,3
1578,BROGAN GROUP HOLDINGS LTD,No,No,No,No,No,AL7 1TW,9879370,70100,31/12/2020,Active,2021,Secure,0.9,"2,677,000",2019,Secure,MR JAMES CHRISTOPHER BROGAN,57,17.12,38,14.15,11.0,16.67,51.1,2,18.04,25.3,0.85,1.03,13.12,3.58,2.62,139.28,45.46,1.62,1.62,4.76,64.24,1.0,31.52,"11,818","69,017",8.0,-1.0,-10.0,3.0,-1.0,2018,99.0,3
1579,ELMEX SALES CORPORATION LIMITED,No,No,No,No,No,UB8 2FX,2894954,52290,31/01/2021,Active,2021,Secure,0.9,"757,108",2020,Secure,CHARTIS HOLDINGS LIMITED,17,72.67,32,40.4,11.04,5.88,23.47,1,5.87,7.09,6.87,5.22,39.35,3.58,3.99,91.49,88.32,0.88,0.88,1.25,15.2,17.92,119.23,"134,626","185,245",6.0,0.0,-4.0,0.0,1.0,2018,95.0,3
1580,WREKIN  HOLDINGS LIMITED,No,No,No,No,No,WS14 9TZ,4654088,25290,31/03/2020,Active,2021,Secure,0.9,"375,875",2019,Secure,WREKIN  HOLDINGS LIMITED,13,10.0,50,7.6,3.36,1.27,19.09,1,1.96,2.8,5.99,41.25,2.85,4.64,7.66,47.68,64.44,1.68,0.66,3.16,33.54,50.47,33.7,"6,309","63,059",1.0,0.0,0.0,0.0,0.0,2018,99.0,3
1581,JAMES T BLAKEMAN & CO (HOLDINGS) LIMITED,No,No,No,No,No,ST5 7UF,2707551,10130,31/08/2020,Active,2021,Secure,0.9,"536,460",2019,Secure,MR PHILIP JAMES BLAKEMAN,22,9.31,42,7.49,5.95,3.13,15.19,1,3.35,4.83,2.4,3.26,14.95,18.87,7.96,45.83,22.24,2.03,1.53,4.12,63.95,1.0,25.58,"5,618","60,350",3.0,0.0,-2.0,1.0,0.0,2018,99.0,3
1582,"ROBERTS, MART (HOLDINGS) CO. LTD.",No,No,No,No,No,LS9 0AN,5338875,22220,31/12/2020,Active,2021,Secure,0.9,"913,872",2019,Secure,MR JOHN ROBERTS,31,11.05,42,10.25,7.55,5.58,1.0,1,4.47,8.41,1.84,3.06,74.89,7.34,4.67,78.17,43.79,2.12,1.42,12.85,68.34,1.0,12.31,"11,738","106,223",4.0,0.0,-2.0,-1.0,1.0,2018,99.0,3
1583,BOASSO GLOBAL LIMITED,No,No,No,No,No,TS10 5JU,10090751,64209,31/12/2020,Active,2021,Secure,0.9,"525,366",2019,Secure,"GRUDEN ACQUISITION, INC.",51,-5.44,30,-2.65,-1.89,-3.24,32.46,1,-0.6,11.8,0.82,0.77,-0.22,67.69,3.81,95.78,31.97,0.83,0.8,0.95,34.74,53.23,144.98,"-2,915","53,576",0.0,-1.0,-11.0,13.0,1.0,2018,89.0,3
1584,TOTALENERGIES FINANCE CORPORATE SERVICES LIMITED,No,No,No,No,No,E14 5BF,8742010,66190,31/12/2019,Active,2021,Caution,11.2,"124,887",2018,Secure,TOTALENERGIES SE,42,21.14,46,19.88,8.18,7.4,1.0,1,7.68,8.78,2.69,1.46,27.3,3.58,361.58,1.01,5.15,0.41,0.41,15.72,38.7,63.13,140.06,"49,445",0,0.0,0.0,0.0,0.0,0.0,2018,30.0,1
1585,THE JANKEL GROUP LIMITED,No,No,No,No,No,KT13 8RN,4145115,45200,30/09/2020,Active,2021,Caution,11.2,"29,812",2019,Caution,JANKEL INVESTMENTS LIMITED,35,-13.39,31,-13.39,-6.47,-7.32,29.59,1,-7.34,-2.74,1.83,5.33,-8.45,3.46,3.18,114.62,72.86,1.61,1.12,0.0,48.32,93.51,56.23,"-17,940","133,959",0.0,0.0,-5.0,0.0,-5.0,2018,31.0,1
1586,CRIPPS LLP,No,No,No,No,No,TN4 8AS,OC311169,69102,30/04/2021,Active,2021,Secure,0.9,"1,613,000",2020,Secure,CRIPPS LLP,18,1.0,36,15.42,0.21,100.0,1.0,1,23.49,26.38,3.07,7.57,1.0,3.58,5.47,66.71,5.87,2.05,2.05,0.0,0.0,1.0,0.0,0,0,10.0,0.0,0.0,-8.0,2.0,2018,97.0,3
1587,ASTA CAPITAL LIMITED,No,No,No,No,No,EC3A 7LL,7720641,70221,31/12/2020,Active,2021,Secure,0.9,"2,499,000",2019,Caution,ASTA CAPITAL LIMITED,33,46.46,43,35.02,23.77,18.48,1.0,1,19.91,27.11,1.9,4.49,9.99,3.58,8.9,41.0,6.89,2.22,2.22,3.06,51.17,1.0,47.77,"62,589","134,729",13.0,0.0,0.0,-3.0,10.0,2018,92.0,3
1588,TENEO STRATEGY LIMITED,No,No,No,No,No,SE1 2DA,3883153,70229,31/12/2020,Active,2021,Secure,0.9,"1,188,000",2019,Secure,TENEO GLOBAL LLC,43,56.73,77,55.41,25.77,14.5,81.41,1,14.53,20.98,3.82,6.06,389.19,3.58,5.65,64.62,6.85,1.32,1.32,42.06,45.42,83.23,26.12,"38,457","67,792",2.0,0.0,-1.0,0.0,-1.0,2018,95.0,3
1589,ARDEVORA ASSET MANAGEMENT LLP,No,No,No,No,No,EC4V 6AB,OC351772,66190,31/03/2021,Active,2021,Secure,0.9,"3,096,000",2020,Secure,IWG PLC,12,244.11,32,244.11,214.18,79.83,1.0,1,82.6,82.8,3.06,247.37,1.0,3.58,4.27,0.0,1.98,8.07,8.07,0.0,87.74,1.0,0.0,"1,050,426",0,25.0,0.0,0.0,-31.0,-7.0,2018,89.0,3
1590,ROBINSON BROTHERS (RYDERS GREEN) LIMITED,No,No,No,No,No,B70 0AH,41367,64202,31/12/2020,Active,2021,Secure,0.9,"670,275",2019,Secure,ROBINSON BROTHERS (RYDERS GREEN) LIMITED,32,57.46,40,10.61,8.98,7.21,18.68,2,8.74,11.57,1.47,4.53,5.71,5.2,5.8,62.93,21.22,4.7,3.15,0.23,15.63,18.52,461.55,"10,100","17,577",2.0,0.0,-2.0,0.0,1.0,2018,99.0,3
1591,PPRO FINANCIAL LTD,No,No,No,No,No,WC2A 1JF,7653641,64999,31/12/2020,Active,2021,Secure,0.9,"48,637",2019,Stable,PPRO HOLDING GMBH,20,0.54,36,0.51,0.35,0.2,63.48,1,0.24,11.08,2.58,2.58,5.4,226.38,10.92,33.42,18.19,1.0,0.98,22.43,64.56,1.0,14.99,554,"103,382",6.0,0.0,0.0,0.0,0.0,2018,86.0,3
1592,A.F. SWITCHGEAR (HOLDINGS) LIMITED,No,No,No,No,No,NG17 2HU,6314356,26110,31/12/2020,Active,2021,Secure,0.9,"493,755",2019,Secure,MR IAN HENRY FOSTER,31,19.69,36,17.69,11.05,9.52,29.64,1,9.67,12.17,1.86,3.22,54.37,18.65,3.4,107.28,54.58,1.7,1.54,8.84,56.12,1.0,13.95,"19,648","99,763",4.0,0.0,0.0,0.0,2.0,2018,97.0,3
1593,PANMURE GORDON (UK) LIMITED,No,No,No,No,No,EC4M 9AF,4915201,64999,31/12/2020,Active,2021,Secure,0.9,"916,286",2019,Caution,ATLAS MERCHANT CAPITAL FUND LP,75,-87.86,21,-86.32,-35.89,100.0,96.67,1,4.76,2.63,0.67,2.01,1.0,3.58,20.73,17.61,6.37,1.48,1.48,55.86,40.85,69.06,3.01,"-221,331",0,0.0,0.0,0.0,0.0,0.0,2018,86.0,3
1594,LMR HOLDINGS LIMITED,No,No,No,No,No,DT1 2PJ,10008779,64203,31/12/2020,Active,2021,Secure,0.9,"460,614",2019,Secure,LMR HOLDINGS LIMITED,11,20.78,26,20.53,6.68,2.78,15.46,1,2.69,3.0,7.37,16.95,389.63,18.6,18.39,19.84,61.03,1.27,1.08,80.55,32.12,47.32,1.24,"12,094","58,199",1.0,0.0,-1.0,-1.0,-1.0,2018,97.0,3
1595,PLATFORM PROPERTY CARE LIMITED,No,No,No,No,No,B37 7YD,3795555,68201,31/03/2021,Active,2021,Normal,2.2,"159,600",2020,Stable,PLATFORM HOUSING GROUP LIMITED,4,74.17,28,74.17,23.87,3.65,14.03,1,3.65,4.14,20.29,59.36,1.0,612.9,22.31,16.36,20.92,1.31,1.3,0.0,32.19,47.47,46.11,"4,123","5,559",0.0,0.0,0.0,0.0,0.0,2018,60.0,3
1596,BGF SERVICES LTD,No,No,No,No,No,WC2N 6JU,7620510,64303,31/12/2020,Active,2021,Stable,2.2,"210,642",2019,Normal,BGF GROUP PLC,36,130.1,39,130.1,5.2,4.76,1.0,1,4.76,2.63,27.33,1.0,1.0,3.58,4.27,1.13,2.2,1.04,1.04,0.0,4.0,4.17,0.0,"12,661","9,732",0.0,0.0,0.0,0.0,0.0,2018,77.0,3
1597,CELLO SIGNAL LIMITED,No,No,No,No,No,EH6 6LX,SC143653,73110,31/12/2020,Active,2021,Secure,0.9,"154,185",2019,Secure,VALUE DEMONSTRATION HOLDINGS LLC,21,20.18,34,20.18,5.38,3.36,56.57,1,3.26,4.0,6.01,31.63,80.94,3.58,4.83,75.55,78.41,1.29,1.29,0.0,26.64,36.31,32.94,"4,244","21,029",0.0,0.0,0.0,0.0,0.0,2018,85.0,3
1598,CHARLES BENTLEY PROPERTIES LIMITED,No,No,No,No,No,LE11 5XG,9757737,68209,31/03/2021,Active,2021,Caution,11.2,"129,081",2020,Secure,CHARLES BENTLEY PROPERTIES LIMITED,20,28.67,32,15.27,7.76,4.99,32.26,1,6.22,7.51,3.06,3.88,5.08,5.49,6.88,53.09,28.48,1.22,0.64,1.14,27.05,37.08,111.69,"12,229","42,648",1.0,0.0,0.0,-1.0,0.0,2018,33.0,1
1599,CITY OF LONDON INVESTMENT MANAGEMENT COMPANY LIMITED,No,No,No,No,No,EC3V 0AS,2851236,66300,30/06/2021,Active,2021,Secure,0.9,"1,948,000",2020,Secure,CITY OF LONDON INVESTMENT GROUP PLC,27,145.93,38,145.93,37.46,26.35,1.0,1,23.44,2.63,5.54,67.86,1.0,3.58,985.2,0.37,0.2,1.32,1.32,0.0,25.67,34.53,244.08,0,0,0.0,0.0,0.0,0.0,0.0,2018,95.0,3
1600,FCL ORGANISATION LTD,No,No,No,No,No,NN4 7PL,8800495,70100,31/03/2021,Active,2021,Secure,0.9,"819,275",2020,Secure,FCL ORGANISATION LTD,17,527.68,33,25.81,5.94,3.07,21.87,1,3.7,6.41,8.4,6.66,13.12,11.64,5.58,65.41,79.01,0.92,0.71,0.05,1.13,1.14,0.0,"9,577","1,815",2.0,0.0,0.0,-1.0,1.0,2018,95.0,3
1601,BROWN RUDNICK LLP,No,No,No,No,No,W1S 2LQ,OC300611,69102,31/12/2020,Active,2021,Secure,0.9,"1,269,000",2019,Secure,IWG PLC,25,1.0,38,15.42,0.21,100.0,1.0,1,13.79,14.93,2.9,18.02,1.0,137.57,3.61,101.15,26.38,1.95,1.92,0.0,0.0,0.0,0.0,0,0,9.0,0.0,0.0,-9.0,0.0,2018,95.0,3
1602,ZEBEDEE CAPITAL PARTNERS LLP,No,No,No,No,No,W1F 9LT,OC324303,66190,31/12/2020,Active,2021,Secure,0.9,"2,725,000",2019,Caution,"EDWARDS, JULIAN, PETER CARY",2,1.0,24,985.78,876.63,80.64,1.0,1,80.64,80.72,12.22,397.67,1.0,3.58,4.27,1.13,0.6,8.78,8.78,0.56,31.77,46.56,179.94,0,0,19.0,0.0,0.0,-20.0,0.0,2018,83.0,3
1603,VISION AUTOMOTIVE (UK) GROUP LTD,No,No,No,No,No,NG18 4GF,4904849,45111,31/12/2020,Active,2021,Secure,0.9,"135,441",2019,Secure,VISION AUTOMOTIVE (UK) GROUP LTD,10,27.14,45,22.34,6.71,1.53,6.08,1,1.85,2.16,14.56,21.89,5.83,7.04,109.67,3.33,5.22,1.14,0.26,4.65,24.73,32.85,26.77,"7,454","27,464",2.0,0.0,0.0,0.0,1.0,2018,99.0,3
1604,A.P.M. HOLDINGS LIMITED,No,No,No,No,No,ME10 3HH,5361602,70100,30/04/2021,Active,2021,Secure,0.9,"219,987",2020,Secure,MR PETER A HYAMS,7,25.11,39,21.73,14.97,2.65,5.24,2,2.7,3.29,8.2,17.08,57.44,28.05,14.05,25.99,8.19,2.15,1.51,6.43,59.62,1.0,29.93,"42,961","171,082",1.0,0.0,0.0,0.0,1.0,2018,89.0,3
1605,"PARK SQUARE CAPITAL, LLP",No,No,No,No,No,W1J 8LA,OC309394,66120,31/12/2020,Active,2021,Secure,0.9,"2,153,000",2019,Secure,MR ROBERT GEORGE DOUMAR JR,11,155.02,31,147.96,80.21,29.69,1.0,1,29.69,30.05,4.98,10.51,1.0,3.58,4.27,1.13,1.0,1.62,1.62,20.96,51.74,1.0,15.53,"156,273","100,808",11.0,0.0,-2.0,-8.0,0.0,2018,93.0,3
1606,FLANAGAN GROUP LIMITED,No,No,No,No,No,L8 5SN,4018281,64203,31/10/2019,Active,2021,Secure,0.9,"365,413",2018,Secure,FLANAGAN GROUP LIMITED,25,86.9,30,9.98,3.98,3.29,12.56,1,4.1,4.81,3.03,2.43,5.08,542.79,21.57,16.93,22.39,0.83,0.83,0.13,4.58,4.8,991.17,"7,113","8,186",2.0,0.0,0.0,0.0,0.0,2018,99.0,3
1607,ALLPAY LIMITED,No,No,No,No,No,HR1 3SE,2933191,64999,30/06/2021,Active,2021,Secure,0.9,"826,050",2020,Caution,MR ANTHONY MARTIN KILLEEN,24,-0.19,52,-0.11,-0.04,-0.02,33.86,1,0.4,6.19,5.84,3.96,0.95,42.65,6.89,52.97,32.61,0.72,0.64,1.55,22.65,29.29,166.14,-31,"16,468",2.0,0.0,-1.0,-1.0,0.0,2018,95.0,3
1608,PARKSIDE HOLDINGS LIMITED,No,No,No,No,No,BS5 7AG,4880583,64203,31/12/2020,Active,2021,Secure,0.9,"185,326",2019,Secure,MR ANDREW DOWDEN,14,43.62,47,26.59,10.06,3.11,10.3,1,3.41,4.25,8.56,21.54,10.86,3.58,6.57,55.53,51.22,1.37,1.37,1.56,23.07,29.99,84.9,"5,921","13,574",4.0,0.0,-1.0,0.0,2.0,2018,99.0,3
1609,RIGBY CAPITAL LIMITED,No,No,No,No,No,CV37 6YX,9347611,64910,31/03/2021,Active,2021,Stable,2.2,"250,421",2020,Secure,MR PETER RIGBY,18,11.96,41,11.96,4.6,2.0,1.0,1,2.33,2.63,5.97,1.0,7.16,3.58,4.66,78.3,20.09,1.63,1.63,0.0,38.48,62.56,118.1,"68,575",0,0.0,0.0,0.0,0.0,0.0,2018,77.0,3
1610,IQSA SERVICES LIMITED,No,No,No,No,No,SE1 2QG,9857188,68209,30/09/2020,Active,2021,Caution,11.2,"120,207",2019,Stable,MANAGING DIRECTORS OF BLACKSTONE AND MR. SCHWARZMAN,17,12.27,37,6.58,0.91,0.42,1.0,1,0.5,3.13,15.68,9.6,6.15,3.58,4.27,1.13,1.28,0.9,0.9,1.15,7.44,8.04,804.41,276,"2,247",0.0,0.0,0.0,0.0,0.0,2018,28.0,1
1611,NCMIC CORPORATE MEMBER NO.1 LIMITED,No,No,No,No,No,EC3V 0XL,8684427,66290,31/12/2020,Active,2021,Caution,11.2,500,2019,Caution,NCMIC GROUP INC,81,149.87,35,0.19,0.18,0.41,1.0,1,0.0,2.63,0.47,0.77,1.0,3.58,1.47,248.5,68.78,5.15,5.15,0.0,0.12,0.12,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2018,27.0,1
1612,FERRA HOLDINGS LIMITED,No,No,No,No,No,EC2A 1AF,10238820,70100,31/12/2020,Active,2021,Secure,0.9,"2,295,000",2019,Secure,FERRA HOLDINGS LIMITED,29,30.89,20,14.02,8.71,12.48,57.83,1,15.22,23.8,1.12,1.9,5.54,3.98,3.4,107.2,15.72,1.67,1.21,0.83,28.19,39.26,128.61,"22,903","74,134",7.0,-1.0,0.0,-1.0,2.0,2018,95.0,3
1613,WATERROWER HOLDINGS LIMITED,No,No,No,No,No,W3 7QE,6054950,64209,31/03/2020,Active,2021,Secure,0.9,"1,709,000",2019,Secure,MR PETER VINCENT KING,31,52.45,40,52.42,38.63,29.91,50.97,2,29.92,30.51,1.75,40.41,1.0,10.71,6.74,54.16,20.24,3.68,3.22,0.0,73.66,1.0,0.05,"68,271","130,174",26.0,0.0,1.0,-19.0,5.0,2018,99.0,3
1614,GENERATOR POWER LIMITED,No,No,No,No,No,WF6 1TW,3446582,77390,31/10/2020,Active,2021,Secure,0.9,"1,664,000",2019,Secure,MR STEPHEN KEITH CARDWELL,44,39.02,48,18.91,8.68,7.93,33.01,1,9.36,21.79,2.38,1.69,6.27,49.08,4.13,88.45,57.16,0.65,0.61,0.94,22.25,28.61,240.55,"17,420","44,643",6.0,-1.0,-1.0,-6.0,-3.0,2018,99.0,3
1615,LONDON TOWER CRANE HIRE & SALES LIMITED,No,No,No,No,No,WD6 1RN,4744574,77320,31/12/2020,Active,2021,Secure,0.9,"1,986,000",2019,Secure,JRL GROUP HOLDINGS LIMITED,66,35.15,45,22.1,16.5,24.28,37.98,3,25.55,32.72,0.91,1.4,20.09,44.03,6.71,54.37,24.71,2.03,1.96,1.69,46.95,88.51,95.44,"164,892",0,0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1616,JAMES HAY ADMINISTRATION COMPANY LIMITED,No,No,No,No,No,SP2 7BF,4068398,64999,31/12/2020,Active,2021,Normal,4.2,"265,219",2019,Normal,SAINTMICHELCO LIMITED,14,37.29,45,37.29,32.99,10.17,1.0,1,10.07,2.63,3.67,1.0,1.0,3.58,4.27,1.13,1.0,8.66,8.66,0.0,88.47,1.0,4.54,"9,122","24,461",3.0,0.0,0.0,0.0,4.0,2018,50.0,2
1617,SENSE NETWORK LIMITED,No,No,No,No,No,WA16 0SR,6089982,66190,31/12/2020,Active,2021,Secure,0.9,"150,897",2019,Secure,ADVISER SERVICES HOLDINGS LIMITED,4,36.63,22,36.52,18.47,1.83,11.17,1,1.83,1.87,19.9,1.0,1.0,3.58,4.27,0.25,0.4,2.0,2.0,321.62,50.43,1.0,0.31,"19,510","53,262",0.0,0.0,0.0,0.0,0.0,2018,93.0,3
1618,LATIUM PLASTICS ENTERPRISES LIMITED,No,No,No,No,No,WA14 4DR,7194177,22230,31/10/2020,Active,2021,Secure,0.9,"782,526",2019,Secure,MR BRIAN KENNEDY,35,28.75,50,25.53,11.87,8.41,36.03,1,8.45,12.76,3.03,4.8,177.48,10.35,5.55,65.78,48.72,1.32,1.06,7.93,41.3,70.36,67.93,"11,491","39,974",11.0,0.0,-1.0,-9.0,1.0,2018,92.0,3
1619,TFG ASSET MANAGEMENT UK LLP,No,No,No,No,No,SW1X 9DQ,OC343805,66190,31/12/2020,Active,2021,Secure,0.9,"685,263",2019,Secure,MR READE EUGENE GRIFFITH,19,-79.34,29,-74.44,-31.11,-20.26,1.0,1,-17.14,2.63,3.67,1.0,1.0,3.58,4.27,1.13,1.0,1.72,1.72,15.18,39.21,64.51,148.64,"-1,174,145",0,2.0,0.0,0.0,1.0,2.0,2018,89.0,3
1620,A.E. RODDA & SON GROUP LTD,No,No,No,No,No,TR16 5BU,8330491,70100,31/03/2021,Active,2021,Caution,11.2,"150,692",2020,Secure,A.E. RODDA & SON GROUP LTD,15,-64.16,42,-37.78,-18.4,-6.76,13.73,1,-5.26,-1.32,5.59,7.14,-52.74,10.38,9.09,40.15,32.74,1.21,0.7,1.43,28.68,40.21,157.33,"-17,523","27,312",-2.0,0.0,0.0,2.0,-1.0,2018,29.0,1
1621,"RAIMES, CLARK & COMPANY, LIMITED",No,No,No,No,No,EH6 8NU,SC006775,47730,31/12/2020,Active,2021,Secure,0.9,"920,178",2019,Secure,"RAIMES, CLARK & COMPANY, LIMITED",37,12.89,36,9.62,8.14,8.42,36.41,1,8.56,12.26,1.14,1.32,22.3,13.7,9.93,36.77,29.1,1.74,1.28,2.94,63.13,1.0,36.81,"10,601","82,240",4.0,0.0,0.0,-2.0,1.0,2018,95.0,3
1622,OAKLEY CAPITAL LIMITED,No,No,No,No,No,SW1X 0AS,4091922,66300,31/12/2020,Active,2021,Secure,0.9,"447,985",2019,Secure,MR PETER DUBENS ADAM DAICHES,26,-104.35,20,-85.93,-21.88,-27.67,100.0,1,-29.24,-28.39,3.11,3.13,-13.85,3.58,64.82,5.63,18.63,1.0,1.0,4.67,20.97,26.53,88.97,"-92,829","88,958",5.0,0.0,0.0,-5.0,0.0,2018,89.0,3
1623,HANSON PLYWOOD (HOLDINGS) LTD,No,No,No,No,No,HX3 6RL,3585017,46130,30/11/2020,Active,2021,Secure,0.9,"515,586",2019,Secure,MR GARY SCOTT,22,17.96,44,17.52,10.57,5.17,16.69,1,5.2,5.76,3.39,14.47,127.01,8.27,5.07,71.93,51.31,2.16,1.54,39.91,58.82,1.0,3.46,"36,939","205,633",2.0,0.0,0.0,0.0,0.0,2018,99.0,3
1624,TELLISFORD LIMITED,No,No,No,No,No,EN8 8JR,4988559,41201,31/12/2020,Active,2021,Secure,0.9,"1,059,000",2019,Secure,TELLISFORD LIMITED,19,35.27,39,21.27,7.98,3.76,13.12,1,3.46,3.48,5.66,658.95,1.0,3.58,4.36,83.79,51.41,1.6,1.6,1.52,22.63,29.25,65.85,"16,978","48,139",0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1625,HVG LAW LLP,No,No,No,No,No,EC2A 4ES,OC335658,69102,30/06/2021,Active,2021,Secure,0.9,"1,695,000",2020,Secure,HVG LAW LLP,36,62.4,45,60.11,35.34,27.8,1.0,1,28.07,2.63,2.16,197.18,244.07,3.58,6.48,56.31,6.89,2.41,2.41,26.27,56.64,1.0,28.56,"75,915","121,657",18.0,0.0,0.0,-8.0,10.0,2018,93.0,3
1626,RSM UK CORPORATE FINANCE LLP,No,No,No,No,No,EC4A 4AB,OC325347,66190,31/03/2021,Active,2021,Stable,2.2,"1,399,000",2020,Secure,IWG PLC,9,1.0,28,15.42,0.21,100.0,52.28,2,31.2,31.44,3.64,214.57,1.0,3.58,3.89,93.84,1.0,9.98,9.98,0.16,12.39,14.14,627.98,0,0,0.0,0.0,0.0,0.0,0.0,2018,64.0,3
1627,UNIQUE SEAFOOD HOLDINGS LIMITED,No,No,No,No,No,BR1 3RA,8356599,46310,31/12/2020,Active,2021,Stable,2.2,"321,264",2019,Secure,UNIQUE SEAFOOD HOLDINGS LIMITED,14,25.53,42,25.05,6.87,2.22,5.83,2,2.1,2.22,11.3,64.12,5.85,9.1,5.83,62.64,39.4,1.31,0.84,52.75,26.92,36.84,139.3,"38,862","152,240",-1.0,0.0,0.0,0.0,-1.0,2018,77.0,3
1628,THE NEW HOMES GROUP LIMITED,No,No,No,No,No,LU7 1GN,2509770,66220,31/12/2020,Active,2021,Secure,0.9,"1,112,000",2019,Caution,SKIPTON BUILDING SOCIETY,15,406.27,35,136.02,56.43,24.79,1.0,1,24.56,24.85,5.49,41.72,1.0,3.58,6.07,60.17,18.06,1.62,1.62,0.5,13.89,16.13,223.3,"21,883","5,386",9.0,0.0,0.0,0.0,0.0,2018,95.0,3
1629,JONES LANG LASALLE UAE LIMITED,No,No,No,No,No,W1B 5NH,7858347,68320,31/12/2019,"Active, in default",2021,Secure,14.5,500,2019,Stable,JONES LANG LASALLE INC,19,1.0,39,98.45,-71.81,-35.11,1.0,1,-34.05,-32.58,1.4,49.39,-32.27,3.58,4.09,89.15,3.69,0.55,0.55,-5.72,-88.38,1.0,0.0,"-55,883",0,0.0,0.0,0.0,0.0,0.0,2018,0.0,1
1630,CHAUCER MANAGEMENT HOLDINGS LIMITED,No,No,No,No,No,EC3R 6EN,8816534,70221,31/10/2020,Active,2021,Secure,0.9,"581,950",2019,Secure,CVC CAPITAL PARTNERS VIII (A) L.P.,23,1.0,28,1.96,1.52,1.29,34.66,1,9.63,16.87,1.52,2.53,1.15,3.58,5.87,62.13,14.5,2.4,2.4,-0.29,-31.23,1.0,0.0,"2,338",0,2.0,0.0,0.0,1.0,3.0,2018,93.0,3
1631,AON INVESTMENTS LIMITED,No,No,No,No,No,EC3V 4AN,5913159,70229,31/12/2020,Active,2021,Stable,2.2,"1,629,000",2019,Secure,AON PUBLIC LIMITED COMPANY,45,40.25,45,40.25,33.86,33.94,1.0,1,33.47,2.63,1.19,1.0,1.0,95.53,17.25,21.15,0.74,6.3,6.24,0.0,84.14,1.0,10.6,0,0,0.0,0.0,0.0,0.0,0.0,2018,64.0,3
